m00,m10,m01,m20,m11,m02,m30,m21,m12,m03,mu20,mu11,mu02,mu30,mu21,mu12,mu03,nu20,nu11,nu02,nu30,nu21,nu12,nu03,label,clase_name,dataset
6485160.0,903826590.0,893959620.0,143759565510.0,123256867830.0,135049835490.0,24808502343930.0,19599030537420.0,18601074358710.0,21775659117180.0,17794669533.489304,-1332883994.5187175,11820215528.34225,-187073531460.27072,153734729233.02344,146858371363.5625,-99312414713.24419,0.0004231053690568993,-3.1692095958822384e-05,0.00028105026867957075,-1.7466689754184078e-06,1.4353910994228408e-06,1.3711878908731995e-06,-9.272605926635304e-07,0,0,2
4377840.0,503370000.0,568539840.0,77089083150.0,67786730580.0,81275961810.0,13786273822050.0,10671532435020.0,9733564386150.0,12579629962530.0,19210915629.03075,2415246181.118356,7441022737.940347,504671711057.83844,104736951350.70312,-238981036032.39844,91814492564.57222,0.0010023705410020318,0.0001260206263964964,0.0003882512490017113,1.2585174706454026e-05,2.6118619333884334e-06,-5.959553555504179e-06,2.2896100656950397e-06,0,0,2
5734185.0,912241845.0,854317830.0,154104567435.0,138027531690.0,147832241400.0,27441415948635.0,23750297994540.0,24145014214770.0,28058900536830.0,8977546983.269884,2115545338.7406018,20550168244.720047,68733873149.83076,117635705104.69531,-3744998848.0390625,-89558216909.62637,0.00027303246247253443,6.433968592813258e-05,0.0006249884350966832,8.729544159492755e-07,1.4940320330937636e-06,-4.7563350242088005e-08,-1.137433951457658e-06,0,0,2
14780055.0,1869491955.0,2039947215.0,318325125375.0,257783807460.0,351790329855.0,61202643010995.0,43815321040470.0,44491051404450.0,67643261034405.0,81857793568.06679,-243981142.0827068,70236259860.92644,230526599923.9877,-58278307344.78125,61326737788.703125,-298991483753.097,0.00037472091507957726,-1.1168739449026345e-06,0.0003215209501703517,2.7449277604772494e-07,-6.939318226923165e-08,7.30230112582352e-08,-3.5601532498669297e-07,0,0,2
9468660.0,1098149595.0,1602852735.0,168198328185.0,187762566450.0,299985572805.0,29130809580465.0,29198612434440.0,35360064217500.0,59750624693595.0,40837906224.69474,1868038419.1178815,28655005428.30885,151082107028.6467,292735402151.125,-63894004676.109375,-732295115062.7457,0.00045549794619007786,2.0835731847530958e-05,0.0003196122751456702,5.476356693467618e-07,1.0610942026915734e-06,-2.3160013257831853e-07,-2.6543906051079307e-06,0,0,2
1952280.0,165193845.0,314468805.0,15729967485.0,25146174750.0,54080745525.0,1612329953055.0,2299714410420.0,4090292849070.0,9795186486885.0,1751948744.9196696,-1462872635.8797047,3426828403.414965,-15160012218.700064,13531605307.875,-14523403924.8125,-19987916725.02209,0.0004596605007883005,-0.0003838153201387169,0.0008991003102100001,-2.8467169570274326e-06,2.5409379445099965e-06,-2.727175917148942e-06,-3.753291267574694e-06,0,0,2
8747520.0,1272072855.0,1056103665.0,222472321635.0,150501308805.0,155720031195.0,42848009481405.0,26153163711855.0,22308015148485.0,25737955508535.0,37486251477.07511,-3078311968.9466333,28214755273.77522,-406705823057.81104,188986430757.60938,406357129060.41406,124763591011.17549,0.0004898940063857392,-4.0229324724417756e-05,0.00036872823917099206,-1.797082562848997e-06,8.350611180732797e-07,1.7955418130810667e-06,5.512841498036211e-07,0,0,2
6684315.0,905480520.0,939201720.0,155963590110.0,131231334165.0,164008620810.0,29646017865960.0,22609764570825.0,23041222719015.0,31548208374060.0,33304054750.061047,4003807962.1663017,32042986208.55493,-504317404035.0767,-389153391570.83594,-301091026634.9531,-500974568635.23584,0.0007453895432997209,8.961060780064493e-05,0.0007171651330506606,-4.365778382681729e-06,-3.3688257650316316e-06,-2.6064868766870875e-06,-4.3368401021292036e-06,0,0,2
3290775.0,531086970.0,454813155.0,90633545850.0,74196982800.0,72890158545.0,16190240804040.0,12798361798560.0,12015404295150.0,12815980896825.0,4923228461.609449,796236652.0286677,10031103774.90662,-25884643132.908077,15029374212.132812,31816461841.65625,-30828407456.528084,0.00045462531081361297,7.352682050659618e-05,0.0009263014517875316,-1.317639812377768e-06,7.650598741248743e-07,1.6195949311067226e-06,-1.5692987076681945e-06,0,0,2
4973520.0,626921325.0,599938245.0,88987961745.0,77153958210.0,82219492155.0,13595991312195.0,11011963475970.0,10750505346990.0,12374239581405.0,9963378001.54353,1530641228.5513227,9851049319.004564,-132908775194.16312,-108221996216.39062,17315697123.679688,79796147385.22078,0.00040279017630496985,6.187933953849089e-05,0.0003982490568335451,-2.4093172167266125e-06,-1.9618051429016787e-06,3.138920446656641e-07,1.446512703490099e-06,0,0,2
